search_string,candidate_yoda_name,candidate_page_link,elections_page_link,legislator_page_link,vpap_candidate_num,name,summary,2019_lower_election_name,2019_lower_election_link,2019_lower_ie_support,2019_lower_ie_oppose,2019_lower_name_D,2019_lower_winner_D,2019_lower_party_D,2019_lower_incumbency_D,2019_lower_money_raised_text_D,2019_lower_money_raised_D,2017_lower_election_name,2017_lower_election_link,2017_lower_ie_support,2017_lower_ie_oppose,2017_lower_name_D,2017_lower_winner_D,2017_lower_party_D,2017_lower_incumbency_D,2017_lower_money_raised_text_D,2017_lower_money_raised_D,bio_political_party,bio_race,bio_gender,bio_age,bio_margin_of_victory,bio_birth_state,bio_region,bio_education_level,bio_undergrad_public_private,bio_attorney,bio_military,bio_occupation,bio_stocksinvestments,bio_real_estate,bio_member_since,bio_years_of_service,2019_lower_candidate_party,2019_lower_is_winner,2019_lower_is_incumbent,2019_lower_raised,2017_lower_candidate_party,2017_lower_is_winner,2017_lower_is_incumbent,2017_lower_raised,2017_lower_name_R,2017_lower_winner_R,2017_lower_party_R,2017_lower_incumbency_R,2017_lower_money_raised_text_R,2017_lower_money_raised_R,2019_lower_name_R,2019_lower_winner_R,2019_lower_party_R,2019_lower_incumbency_R,2019_lower_money_raised_text_R,2019_lower_money_raised_R,2019_upper_election_name,2019_upper_election_link,2019_upper_ie_support,2019_upper_ie_oppose,2019_upper_name_R,2019_upper_winner_R,2019_upper_party_R,2019_upper_incumbency_R,2019_upper_money_raised_text_R,2019_upper_money_raised_R,2019_upper_name_D,2019_upper_winner_D,2019_upper_party_D,2019_upper_incumbency_D,2019_upper_money_raised_text_D,2019_upper_money_raised_D,2019_upper_candidate_party,2019_upper_is_winner,2019_upper_is_incumbent,2019_upper_raised
Jay Leftwich,"Leftwich, Jay",https://www.vpap.org/candidates/25120,https://www.vpap.org/candidates/25120/elections/,https://www.vpap.org/legislators/25120,25120,Jay Leftwich,Jay Leftwich has served in the House of Delegates since 2014.,2019 House of Delegates - District 78 - Regular General,https://www.vpap.org/offices/house-of-delegates-78/elections/?year_and_type=2019regular,0,0,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 78 - Regular General,https://www.vpap.org/offices/house-of-delegates-78/elections/?year_and_type=2017regular,0.0,0,N/A,N/A,N/A,N/A,N/A,N/A,Republican,Caucasian,Male,57,Uncontested,Virginia,District Office Area Code 757,Law Degree,State University,Yes,Non-Military,"Lawyers / Basnight Kinser, Basnight Kinser Telfeyan Leftwich & Nuckolls PC","Between $100,001 and $500,000",Owns property that generates rental income or used for business,2014.0,6.0,R,True,True,152297.0,R,True,True,125788.0,"Leftwich, Jay",True,R,True,"$125,788",125788.0,"Leftwich, Jay",True,R,True,"$152,297",152297.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brenda Pogge,"Pogge, Brenda",https://www.vpap.org/candidates/79793,https://www.vpap.org/candidates/79793/elections/,https://www.vpap.org/legislators/79793,79793,Brenda Pogge,Brenda Pogge has served in the Virginia House of Delegates since 2008.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 96 - Regular General,https://www.vpap.org/offices/house-of-delegates-96/elections/?year_and_type=2017regular,5598.0,0,"DeLucia, Kelly",False,D,False,"$113,850",113850.0,Republican,Caucasian,Female,62,Won by 10% or More,Virginia,District Office Area Code 757,High School or Less,Not Applicable,No,Non-Military,Business People / Former Realtor,"Between $10,001 and $100,000",Owns property that generates rental income or used for business,2008.0,12.0,N/A,N/A,N/A,N/A,R,True,True,119952.0,"Pogge, Brenda",True,R,True,"$119,952",119952.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Mullin,"Mullin, Mike",https://www.vpap.org/candidates/255630,https://www.vpap.org/candidates/255630/elections/,https://www.vpap.org/legislators/255630,255630,Mike Mullin,Mike Mullin has served in the House of Delegates since 2017.,2019 House of Delegates - District 93 - Regular General,https://www.vpap.org/offices/house-of-delegates-93/elections/?year_and_type=2019regular,0,23.0,"Mullin, Mike",True,D,True,"$461,913",461913.0,2017 House of Delegates - District 93 - Regular General,https://www.vpap.org/offices/house-of-delegates-93/elections/?year_and_type=2017regular,0.0,0,"Mullin, Mike",True,D,True,"$1,009,933",1009933.0,Democrat,Caucasian,Male,38,Won by 10% or More,Virginia,District Office Area Code 757,Law Degree,State University,Yes,Non-Military,"Lawyers / Attorney, City of Suffolk","Between $100,001 and $500,000",Owns property that generates rental income or used for business,2016.0,4.0,D,True,True,461913.0,D,True,True,1009933.0,"Cordasco, Heather",False,R,False,"$840,554",840554.0,"Cordasco, Heather",False,R,False,"$158,407",158407.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
James Edmunds,"Edmunds, James",https://www.vpap.org/candidates/83615,https://www.vpap.org/candidates/83615/elections/,https://www.vpap.org/legislators/83615,83615,James Edmunds,James Edmunds has served in the House of Delegates since 2010.,2019 House of Delegates - District 60 - Regular General,https://www.vpap.org/offices/house-of-delegates-60/elections/?year_and_type=2019regular,0,0,"Zimmerman, Janie",False,D,False,"$15,475",15475.0,2017 House of Delegates - District 60 - Regular General,https://www.vpap.org/offices/house-of-delegates-60/elections/?year_and_type=2017regular,0.0,0,"Johnston, Jamaal",False,D,False,"$17,174",17174.0,Republican,Caucasian,Male,49,Won by 10% or More,Virginia,District Office Area Code 434,Bachelors Degree,Private University; Averett University,No,Non-Military,Farmers/Agriculture / Farmer,"Between $10,001 and $100,000",Owns property that generates rental income or used for business,2010.0,10.0,R,True,True,72155.0,R,True,True,81549.0,"Edmunds, James",True,R,True,"$81,549",81549.0,"Edmunds, James",True,R,True,"$72,155",72155.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keith Hodges,"Hodges, Keith",https://www.vpap.org/candidates/54884,https://www.vpap.org/candidates/54884/elections/,https://www.vpap.org/legislators/54884,54884,Keith Hodges,Keith Hodges has served in the House of Delegates in 2012.,2019 House of Delegates - District 98 - Regular General,https://www.vpap.org/offices/house-of-delegates-98/elections/?year_and_type=2019regular,0,0,"Webster, Ella",False,D,False,"$28,623",28623.0,2017 House of Delegates - District 98 - Regular General,https://www.vpap.org/offices/house-of-delegates-98/elections/?year_and_type=2017regular,0.0,0,"Crowley, Sheila",False,D,False,"$141,351",141351.0,Republican,Caucasian,Male,53,Won by 10% or More,Virginia,District Office Area Code 804,Bachelors Degree,State University,No,Non-Military,"Medical Professions / Pharmacist, Gloucester Pharmacy","Between $100,001 and $500,000",Owns property other than primary residence (no income reported),2012.0,8.0,R,True,True,75912.0,R,True,True,123486.0,"Hodges, Keith",True,R,True,"$123,486",123486.0,"Hodges, Keith",True,R,True,"$75,912",75912.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Melissa Dart,"Dart, Melissa",https://www.vpap.org/candidates/289803,https://www.vpap.org/candidates/289803/elections/,https://www.vpap.org/legislators/289803,289803,Melissa Dart,Melissa Dart ran for the 56th District seat in the House of Delegates in November 2017.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 56 - Regular General,https://www.vpap.org/offices/house-of-delegates-56/elections/?year_and_type=2017regular,0.0,0,"Dart, Melissa",False,D,False,"$165,542",165542.0,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,D,False,False,165542.0,"McGuire, John",True,R,False,"$198,767",198767.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jamaal Johnston,"Johnston, Jamaal",https://www.vpap.org/candidates/289833,https://www.vpap.org/candidates/289833/elections/,https://www.vpap.org/legislators/289833,289833,Jamaal Johnston,Jamaal Johnston ran for the 60th District seat in the House of Delegates in November 2017.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 60 - Regular General,https://www.vpap.org/offices/house-of-delegates-60/elections/?year_and_type=2017regular,0.0,0,"Johnston, Jamaal",False,D,False,"$17,174",17174.0,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,D,False,False,17174.0,"Edmunds, James",True,R,True,"$81,549",81549.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Francis Edwards,"Edwards, Francis",https://www.vpap.org/candidates/289708,https://www.vpap.org/candidates/289708/elections/,https://www.vpap.org/legislators/289708,289708,Francis Edwards,Francis Edwards ran for the 99th House District in November 2019.,2019 House of Delegates - District 99 - Regular General,https://www.vpap.org/offices/house-of-delegates-99/elections/?year_and_type=2019regular,0,0,"Edwards, Francis",False,D,False,"$311,657",311657.0,2017 House of Delegates - District 99 - Regular General,https://www.vpap.org/offices/house-of-delegates-99/elections/?year_and_type=2017regular,0.0,0,"Edwards, Francis",False,D,False,"$250,864",250864.0,,,,,,,,,,,,,,,,,D,False,False,311657.0,D,False,False,250864.0,"Ransone, Margaret",True,R,True,"$295,429",295429.0,"Ransone, Margaret",True,R,True,"$278,402",278402.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Schuyler VanValkenburg,"VanValkenburg, Schuyler",https://www.vpap.org/candidates/289364,https://www.vpap.org/candidates/289364/elections/,https://www.vpap.org/legislators/289364,289364,Schuyler VanValkenburg,Schuyler VanValkenburg won election to the House of Delegates in November 2017.,2019 House of Delegates - District 72 - Regular General,https://www.vpap.org/offices/house-of-delegates-72/elections/?year_and_type=2019regular,0,30839.0,"VanValkenburg, Schuyler",True,D,True,"$933,300",933300.0,2017 House of Delegates - District 72 - Regular General,https://www.vpap.org/offices/house-of-delegates-72/elections/?year_and_type=2017regular,317.0,0,"VanValkenburg, Schuyler",True,D,False,"$547,632",547632.0,Democrat,Caucasian,Male,37,Won by Less than 10%,New York,District Office Area Code 804,Master's Degree,Private University; University of Richmond,No,Non-Military,"Educators / Schoolteacher, Henrico County Public Schools","Between $10,001 and $100,000",No property other than primary residence,2018.0,2.0,D,True,True,933300.0,D,True,False,547632.0,"Whitlock, Eddie",False,R,False,"$526,718",526718.0,"Vandergriff, GayDonna",False,R,False,"$594,460",594460.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emily Brewer,"Brewer, Emily",https://www.vpap.org/candidates/260169,https://www.vpap.org/candidates/260169/elections/,https://www.vpap.org/legislators/260169,260169,Emily Brewer,Emily Brewer won election to the House of Delegates in November 2017.,2019 House of Delegates - District 64 - Regular General,https://www.vpap.org/offices/house-of-delegates-64/elections/?year_and_type=2019regular,0,0,"Joyce, Michele",False,D,False,"$47,455",47455.0,2017 House of Delegates - District 64 - Regular General,https://www.vpap.org/offices/house-of-delegates-64/elections/?year_and_type=2017regular,0.0,0,"Colaw, Rebecca",False,D,False,"$54,869",54869.0,Republican,Caucasian,Female,35,Won by 10% or More,Ohio,District Office Area Code 757,Community College/Trade School,Private University; Regent University,No,Non-Military,"Business People / Wine shop owner, Wine & Craft Beer Shop","Less than $10,000",No property other than primary residence,2018.0,2.0,R,True,True,130813.0,R,True,False,165237.0,"Brewer, Emily",True,R,False,"$165,237",165237.0,"Brewer, Emily",True,R,True,"$130,813",130813.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Debra Rodman,"Rodman, Debra",https://www.vpap.org/candidates/289677,https://www.vpap.org/candidates/289677/elections/,https://www.vpap.org/legislators/289677,289677,Debra Rodman,Debra Rodman has served in the House of Delegates since 2018.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 73 - Regular General,https://www.vpap.org/offices/house-of-delegates-73/elections/?year_and_type=2017regular,317.0,0,"Rodman, Debra",True,D,False,"$376,147",376147.0,Democrat,Caucasian,Female,47,Won by Less than 10%,Florida,District Office Area Code 804,Doctorate,Private University; University of Miami,No,Non-Military,"Educators / College Professor, Randolph-Macon College","Less than $10,000",No property other than primary residence,2018.0,2.0,N/A,N/A,N/A,N/A,D,True,False,376147.0,"O'Bannon, John",False,R,True,"$575,738",575738.0,N/A,N/A,N/A,N/A,N/A,N/A,2019 State Senate - District 12 - Regular General,https://www.vpap.org/offices/state-senate-12/elections/?year_and_type=2019regular,1089.0,12797.0,"Dunnavant, Siobhan",True,R,True,"$2,688,678",2688678.0,"Rodman, Debra",False,D,False,"$3,125,596",3125596.0,D,False,False,3125596.0
Marcia Price,"Price, Cia",https://www.vpap.org/candidates/189804,https://www.vpap.org/candidates/189804/elections/,https://www.vpap.org/legislators/189804,189804,Cia Price,Cia Price has served in the House of Delegates since 2016.,2019 House of Delegates - District 95 - Regular General,https://www.vpap.org/offices/house-of-delegates-95/elections/?year_and_type=2019regular,0,23.0,"Price, Cia",True,D,True,"$64,847",64847.0,2017 House of Delegates - District 95 - Regular General,https://www.vpap.org/offices/house-of-delegates-95/elections/?year_and_type=2017regular,0.0,0,"Price, Cia",True,D,True,"$49,957",49957.0,Democrat,African-American,Female,39,Uncontested,Virginia,District Office Area Code 757,Master's Degree,Private University; Spelman College,No,Non-Military,"Medical Professions / Dental Office Administration, Heartland Dental LLC","Between $10,001 and $100,000",No property other than primary residence,2016.0,4.0,D,True,True,64847.0,D,True,True,49957.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christopher Peace,"Peace, Chris",https://www.vpap.org/candidates/26832,https://www.vpap.org/candidates/26832/elections/,https://www.vpap.org/legislators/26832,26832,Chris Peace,Chris Peace has served in the Virginia House of Delegates since 2006.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 97 - Regular General,https://www.vpap.org/offices/house-of-delegates-97/elections/?year_and_type=2017regular,0.0,0,"Johnson, Cori",False,D,False,"$29,609",29609.0,Republican,Caucasian,Male,43,Won by 10% or More,Virginia,District Office Area Code 804,Law Degree,Private University; Hampden-Sydney College,Yes,Non-Military,"Public Affairs/Lobbyists / Public Affairs, Smithfield Foods","Between $100,001 and $500,000",Owns property that generates rental income or used for business,2006.0,14.0,N/A,N/A,N/A,N/A,R,True,True,272257.0,"Peace, Chris",True,R,True,"$272,257",272257.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steve Heretick,"Heretick, Steve",https://www.vpap.org/candidates/34197,https://www.vpap.org/candidates/34197/elections/,https://www.vpap.org/legislators/34197,34197,Steve Heretick,Steve Heretick has served in the House of Delegates since 2016.,2019 House of Delegates - District 79 - Regular General,https://www.vpap.org/offices/house-of-delegates-79/elections/?year_and_type=2019regular,0,0,"Heretick, Steve",True,D,True,"$160,283",160283.0,2017 House of Delegates - District 79 - Regular General,https://www.vpap.org/offices/house-of-delegates-79/elections/?year_and_type=2017regular,0.0,0,"Heretick, Steve",True,D,True,"$58,753",58753.0,Democrat,Caucasian,Male,59,Uncontested,Virginia,District Office Area Code 757,Law Degree,State University,Yes,Non-Military,"Lawyers / Attorney, Heretick Law","Less than $10,000",Owns property that generates rental income or used for business,2016.0,4.0,D,True,True,160283.0,D,True,True,58753.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sheila Crowley,"Crowley, Sheila",https://www.vpap.org/candidates/294772,https://www.vpap.org/candidates/294772/elections/,https://www.vpap.org/legislators/294772,294772,Sheila Crowley,Sheila Crowley ran for the 98th District seat in the House of Delegates in November 2017.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 98 - Regular General,https://www.vpap.org/offices/house-of-delegates-98/elections/?year_and_type=2017regular,0.0,0,"Crowley, Sheila",False,D,False,"$141,351",141351.0,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,D,False,False,141351.0,"Hodges, Keith",True,R,True,"$123,486",123486.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Roslyn Tyler,"Tyler, Roslyn",https://www.vpap.org/candidates/79002,https://www.vpap.org/candidates/79002/elections/,https://www.vpap.org/legislators/79002,79002,Roslyn Tyler,Roslyn Tyler has served in the Virginia House of Delegates since 2006.,2019 House of Delegates - District 75 - Regular General,https://www.vpap.org/offices/house-of-delegates-75/elections/?year_and_type=2019regular,0,1335.0,"Tyler, Roslyn",True,D,True,"$199,808",199808.0,2017 House of Delegates - District 75 - Regular General,https://www.vpap.org/offices/house-of-delegates-75/elections/?year_and_type=2017regular,0.0,0,"Tyler, Roslyn",True,D,True,"$73,580",73580.0,Democrat,African-American,Female,58,Won by Less than 10%,Virginia,District Office Area Code 434,Master's Degree,State University,No,Non-Military,"Medical Professions / Physical Therapist, Southern Va Regional Medical Center","Between $10,001 and $100,000",Owns property that generates rental income or used for business,2006.0,14.0,D,True,True,199808.0,D,True,True,73580.0,N/A,N/A,N/A,N/A,N/A,N/A,"Wachsmann, Otto",False,R,False,"$333,548",333548.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John McGuire,"McGuire, John",https://www.vpap.org/candidates/159846,https://www.vpap.org/candidates/159846/elections/,https://www.vpap.org/legislators/159846,159846,John McGuire,John McGuire is seeking the Republican nomination for the 7th US House District in 2020. He has served in the House of Delegates since 2018.,2019 House of Delegates - District 56 - Regular General,https://www.vpap.org/offices/house-of-delegates-56/elections/?year_and_type=2019regular,0,0,"Matkins, Juanita Jo",False,D,False,"$150,994",150994.0,2017 House of Delegates - District 56 - Regular General,https://www.vpap.org/offices/house-of-delegates-56/elections/?year_and_type=2017regular,0.0,0,"Dart, Melissa",False,D,False,"$165,542",165542.0,Republican,Caucasian,Male,51,Won by 10% or More,Virginia,District Office Area Code 804,Community College/Trade School,Not Applicable,No,Veteran,"Business People / Fitness Training, Seal Team PT","Less than $10,000",Owns property that generates rental income or used for business,2018.0,2.0,R,True,True,252615.0,R,True,False,198767.0,"McGuire, John",True,R,False,"$198,767",198767.0,"McGuire, John",True,R,True,"$252,615",252615.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Bourne,"Bourne, Jeff",https://www.vpap.org/candidates/153904,https://www.vpap.org/candidates/153904/elections/,https://www.vpap.org/legislators/153904,153904,Jeff Bourne,Jeffrey Bourne has served in the House of Delegates since 2017.,2019 House of Delegates - District 71 - Regular General,https://www.vpap.org/offices/house-of-delegates-71/elections/?year_and_type=2019regular,0,23.0,"Bourne, Jeff",True,D,True,"$206,755",206755.0,2017 House of Delegates - District 71 - Special General,https://www.vpap.org/offices/house-of-delegates-71/elections/?year_and_type=2017special,0.0,0,"Bourne, Jeff",True,D,False,"$77,778",77778.0,Democrat,African-American,Male,43,Won by 10% or More,Connecticut,District Office Area Code 804,Law Degree,State University,Yes,Non-Military,"Public Employees, Commonwealth of Va","Less than $10,000",Owns property that generates rental income or used for business,2017.0,3.0,D,True,True,206755.0,D,True,False,77778.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kelly Delucia,"DeLucia, Kelly",https://www.vpap.org/candidates/289231,https://www.vpap.org/candidates/289231/elections/,https://www.vpap.org/legislators/289231,289231,Kelly DeLucia,Kelly DeLucia ran for the 96th District seat in the House of Delegates in November 2017.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 96 - Regular General,https://www.vpap.org/offices/house-of-delegates-96/elections/?year_and_type=2017regular,0.0,0,"DeLucia, Kelly",False,D,False,"$113,850",113850.0,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,D,False,False,113850.0,"Pogge, Brenda",True,R,True,"$119,952",119952.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
